,ID,location_name,lat,long
0,2353158,Zyonguen,12.36667,-0.45
1,2353159,Zyiliwele,12.38333,-2.73333
2,2353160,Zyanko,12.78333,-0.41667
3,2353161,Zouta,13.14908,-1.28197
4,2353162,Zourtenga,12.957410000000001,-1.28745
5,2353163,Zourma,11.390830000000001,-0.79556
6,2353164,Zouri,11.65,-1.2833299999999999
7,2353165,Zoura,13.28261,-1.47644
8,2353166,Zoungwa,13.21895,-1.9714200000000002
9,2353167,Zoungou,12.14441,-0.53169
10,2353168,Zoungo,13.28675,-1.14636
11,2353169,Zoundweogo Province,11.58333,-1.0
12,2353170,Zoundri,12.42718,-1.90874
13,2353171,Zoundi,12.73972,-1.51522
14,2353172,Zounara,14.0603,-0.9666
15,2353174,Zoumbara,12.88333,-3.15
16,2353175,Zouma,13.335429999999999,-2.05511
17,2353176,Zouma,12.66667,-2.91667
18,2353177,Zouma,12.59733,-1.6022100000000001
19,2353178,Zoum,12.76667,-3.9833300000000005
20,2353179,Zouloumtenga,12.85,-0.9833299999999999
21,2353180,Zoulougou,12.11667,-1.98333
22,2353181,Zouli,12.03333,-0.43333
23,2353182,Zoula,12.25,-2.46667
24,2353183,Zoukoundougou,13.47294,-1.82887
25,2353184,Zougountenga,13.435279999999999,-0.6169100000000001
26,2353185,Zougoungo,13.0482,-2.2187
27,2353186,Zongouma,13.91409,-2.2471099999999997
28,2353187,Zougouma,13.56335,-2.5199599999999998
29,2353188,Zougo,12.8,-2.63333
30,2353189,Zoudounga,13.76135,-2.34125
31,2353190,Zouandoma,13.315,-2.13058
32,2353191,Zorogo,12.25,-0.28333
33,2353192,Zoro,11.1,-2.05
34,2353193,Zorkoum,13.148879999999998,-1.16584
35,2353194,Zori,11.3,-3.95
36,2353195,Zorgongo,12.26667,-0.8
37,2353196,Zorgo,13.06589,-0.66919
38,2353197,Zorgo,12.24922,-0.61527
39,2353198,Zorgo,11.7,-1.33333
40,2353199,Zorga,13.02002,-0.6681699999999999
41,2353200,Zore,12.28333,-0.45
42,2353201,Zorbo,13.5327,-0.97824
43,2353202,Zoongo,12.85,-0.58333
44,2353203,Zonzo,10.16667,-2.9
45,2353204,Zontibe,13.41516,-1.25175
46,2353205,Zonse,11.37,-0.615
47,2353206,Zono,10.41667,-3.56667
48,2353207,Zonkom,14.60803,0.04339
49,2353208,Zonkin,12.98639,-0.9914
50,2353209,Zongpiguen,12.25,-0.78333
51,2353210,Zongoy,14.468079999999999,-0.11281
52,2353211,Zongowaetan,13.79124,0.54774
53,2353212,Zongopika,12.21667,-0.6333300000000001
54,2353213,Zongo,13.4246,-1.22507
55,2353214,Zongo,13.22745,-2.37596
56,2353215,Zongo,12.34595,-1.59856
57,2353216,Zonesso,11.16497,-4.17687
58,2353217,Zoner,11.21667,-2.83333
59,2353218,Zonankui,12.68333,-3.58333
60,2353219,Zon,13.72901,-1.61531
61,2353220,Zon,11.28333,-1.4
62,2353221,Zomouna,11.2,-2.46667
63,2353222,Zomnogo,13.251120000000002,-0.45782
64,2353223,Zomnogo,12.61667,-0.38333
65,2353224,Zomkalga,13.45749,-1.88202
66,2353225,Zomkalga,13.18893,-1.48445
67,2353226,Zom,13.82785,-2.40367
68,2353227,Zolo,12.8,-2.5666700000000002
69,2353228,Zolo,10.81667,-3.05
70,2353229,Zogore,13.401689999999999,-2.5924400000000003
71,2353230,Zogbega,12.86667,-2.1
72,2353231,Zoetgomde,12.53333,-2.2
73,2353232,Zodoum,10.98333,-3.03333
74,2353233,Zoamba,12.76667,-0.8333299999999999
75,2353234,Zoaga,11.03806,-0.59028
76,2353235,Zizon,12.8,-2.26667
77,2353236,Zizi,12.96667,-2.9333299999999998
78,2353237,Zitoessin,13.07456,-2.39649
79,2353238,Zitenga,12.748460000000001,-1.30989
80,2353239,Zissegre,12.66667,-0.38333
81,2353240,Zire,13.273279999999998,-2.1114900000000003
82,2353241,Zipele,12.77965,-1.73737
83,2353242,Zipelaga,11.06667,-0.48333000000000004
84,2353243,Ziou,11.03611,-0.77917
85,2353244,Zio,11.91667,-1.7
86,2353245,Zinye,12.25,-0.6
87,2353246,Zintio,11.31667,-3.2
88,2353247,Zintenga,11.83333,-0.76667
89,2353248,Zinou,11.86667,-2.28333
90,2353249,Zinkui,11.98333,-3.21667
91,2353250,Zinka Folapouo,10.13333,-2.91667
92,2353251,Zinka,10.13333,-2.91667
93,2353252,Ziniguise,12.11667,-2.11667
94,2353253,Zinigma,13.40905,-1.71803
95,2353254,Zinigen,13.0,-2.28333
96,2353255,Zinibeogo,13.76769,-0.74324
97,2353256,Zinibeogo,13.866229999999998,-0.73761
98,2353257,Ziniare,12.58186,-1.2971
99,2353258,Zinguina,11.90347,-4.96788
100,2353259,Zingedagen,12.18333,-2.1
101,2353260,Zinekwe,11.91667,-1.31667
102,2353261,Zinedi,9.96667,-2.8
103,2353262,Zindiguesse,13.28604,-2.37295
104,2353263,Zinaziella,11.23333,-0.65
105,2353264,Zinado,12.18333,-0.66667
106,2353265,Zinab,12.78333,-0.9833299999999999
107,2353266,Zina,12.01667,-3.4
108,2353267,Saben,12.85233,-1.79751
109,2353268,Sabsin,12.10507,-1.5512700000000001
110,2353269,Zimsa,13.310839999999999,-1.09723
111,2353270,Zimou,13.08537,-2.9114
112,2353271,Zimba,13.5048,-2.43669
113,2353272,Zimkouri,12.85,-0.51667
114,2353273,Zimkorom,12.4,-0.16667
115,2353274,Zimiouzou,12.71667,-2.2
116,2353275,Zimidou,13.186779999999999,-1.2623
117,2353276,Zimidi,12.8,-2.7
118,2353277,Zimidem,12.61667,-2.16667
119,2353278,Zimasso,12.66667,-3.6166699999999996
120,2353279,Zilateoun,9.95,-2.85
121,2353280,Zilaoro,13.03309,-1.8862900000000002
122,2353281,Zikomtenga,12.2394,-1.4552
123,2353282,Zikieme,12.93333,-0.9833299999999999
124,2353283,Ziguiberi,14.70817,-0.03178
125,2353284,Ziguenoguen,12.33333,-0.71667
126,2353285,Zigo,12.39247,-1.78693
127,2353286,Zigla Polose,11.7,-0.6333300000000001
128,2353287,Zigla Pakala,11.75,-0.58333
129,2353288,Zigla Koulpele,11.71667,-0.6333300000000001
130,2353289,Zigla,11.65,-1.01667
131,2353290,Foret Classee de Ziga,12.471060000000001,-1.08644
132,2353291,Ziga,13.416039999999999,-2.31252
133,2353292,Ziga,12.61075,-0.83311
134,2353293,Ziga,12.56475,-1.11204
135,2353294,Ziga,12.36667,-3.8
136,2353295,Zenem Tanga,13.71411,-2.62378
137,2353296,Ziedougou,10.41667,-5.05
138,2353297,Zibtenga,12.88333,-0.9
139,2353298,Zibri Koulibila,12.6257,-1.04929
140,2353299,Zibri,12.62495,-1.00823
141,2353300,Zibako,12.55132,-1.64205
142,2353301,Ziasso,12.15,-3.33333
143,2353302,Zambele,13.01424,-2.21426
144,2353303,Zey Bala,14.98215,-0.6149600000000001
145,2353304,Zetonasso,11.27755,-5.22688
146,2353305,Zetgomde,12.5,-0.71667
147,2353306,Gounghin,12.06677,-1.42134
148,2353307,Zesa,12.71667,-2.45
149,2353308,Zerounda,12.86985,-1.93915
150,2353309,Zerkoum,12.38333,-2.0666700000000002
151,2353310,Zerkom,12.23616,-1.95317
152,2353311,Zeredeguen,13.07382,-1.14553
153,2353312,Zerebougou,11.0,-0.58333
154,2353313,Zeoule,12.26667,-3.5333300000000003
155,2353314,Zeoula,12.26667,-3.4833300000000005
156,2353315,Zennloua,11.88333,-1.9666700000000001
157,2353316,Zenin,11.86667,-2.48333
158,2353317,Zenedere,12.76667,-2.2
159,2353318,Zemtoega,11.76667,-1.2833299999999999
160,2353319,Zempasgo,12.25,-0.73333
161,2353320,Zempana,12.8,-3.5
162,2353321,Zemouapare,10.21667,-2.83333
163,2353322,Zelougou,11.13333,-0.6333300000000001
164,2353323,Zelogo,10.96667,-0.88333
165,2353324,Zelemsonde,13.563170000000001,-0.47425
166,2353325,Zelasie,12.45,-2.8
167,2353326,Zila,12.45774,-1.79665
168,2353327,Zekounga,12.389669999999999,-1.6753200000000001
169,2353328,Zeko,12.25,-0.58333
170,2353329,Zinkemzougou,12.315010000000001,-1.91917
171,2353330,Zeka,13.08212,-1.305
172,2353331,Zehui,12.9067,-4.159
173,2353332,Zinguedesse,12.24661,-1.58402
174,2353333,Zengresse,12.2092,-1.3813
175,2353334,Zeguedesse,12.00135,-1.24194
176,2353335,Zeguedeguen,12.95735,-0.45498999999999995
177,2353336,Zeguedeguin,11.9,-1.45
178,2353337,Zeguedeguen,12.093,-1.9756200000000002
179,2353338,Zeguedega,12.3,-0.53333
180,2353339,Zeguedega,11.91667,-0.38333
181,2353340,Zegednogo,13.223379999999999,-1.31584
182,2353341,Zeguedeguen,12.97368,-1.40604
183,2353342,Zeguedeguen I,12.78853,-1.89159
184,2353343,Zeguedeguen II,12.79176,-1.73275
185,2353344,Zecco,11.03333,-0.85
186,2353345,Zebekaha,10.46667,-5.35
187,2353346,Zay,13.99,-2.3580900000000002
188,2353347,Zawara,11.78333,-2.58333
189,2353348,Zawadoro,12.08333,-0.25
190,2353349,Zavara,11.5,-1.88333
191,2353350,Zarsin,12.11009,-1.31377
192,2353351,Zargome,11.63333,-0.016669999999999997
193,2353352,Zargo,11.68333,-0.6166699999999999
194,2353353,Zarfi,11.16667,-0.016669999999999997
195,2353354,Zaren,13.194120000000002,-0.91671
196,2353355,Zarayn,12.53333,-2.11667
197,2353356,Zaran Kipsi,14.683670000000001,-0.89215
198,2353357,Zarahougo,11.88333,-1.2833299999999999
199,2353358,Zarabili,11.78333,-1.2166700000000001
200,2353359,Zara,12.73333,-2.75
201,2353360,Zaptinga,11.71667,-1.1
202,2353361,Zaouna,13.06662,-1.5388700000000002
203,2353362,Zaoro,12.15,-0.28333
204,2353363,Zaongo,12.91667,-0.58333
205,2353364,Zaongo,12.21667,-0.38333
206,2353365,Zao,11.85,-2.11667
207,2353366,Zanzi,13.01473,-1.20985
208,2353367,Zanvi,12.95963,-1.14586
209,2353368,Zanren,12.05,-0.28333
210,2353369,Zanre,12.06667,-0.05
211,2353370,Zano,13.670620000000001,-2.31358
212,2353371,Zano,13.343539999999999,-1.6983
213,2353372,Zanna,13.488579999999999,-2.17542
214,2353373,Zankolaga,13.382320000000002,-2.41761
215,2353374,Zangwi,13.03406,-1.31351
216,2353375,Zangokala,10.85,-5.28333
217,2353376,Zangogo,11.86667,-1.2
218,2353377,Zangogo,11.76667,-1.38333
219,2353378,Zanghindiesse,12.36472,-1.71061
220,2353379,Zanguelila,12.94009,-1.46801
221,2353380,Zangboni,11.36667,-2.9333299999999998
222,2353381,Zangbega,12.58643,-1.31636
223,2353382,Zangazoni,11.90484,-4.70916
224,2353383,Zanganyiara,10.51667,-5.36667
225,2353384,Zanga,10.4,-5.41667
226,2353385,Zanfara,11.75309,-5.0148
227,2353386,Zandoure,12.93333,-0.53333
228,2353387,Zandkom,13.14071,-1.5526
229,2353388,Zandekaha,10.61667,-5.2
230,2353389,Zanawa,10.98333,-3.5
231,2353390,Zana Mogo,13.75189,-1.6882
232,2353391,Zana,13.790239999999999,-1.70029
233,2353392,Zan,11.15,-0.3
234,2353393,Zamren,12.20932,-1.94356
235,2353394,Zamse,12.002460000000001,-1.29199
236,2353395,Zamse,13.44859,-1.79485
237,2353396,Zamse,12.53333,-0.71667
238,2353397,Zamse,12.36667,-0.36667
239,2353398,Zamo,12.01667,-2.71667
240,2353399,Zamnongho,12.20995,-1.55386
241,2353400,Zamne,14.1572,-2.21884
242,2353401,Zammse,11.7,-1.1
243,2353402,Zammse,11.55,-1.18333
244,2353403,Zamiolo,13.663670000000002,-2.4785
245,2353404,Zame,11.08333,-0.56667
246,2353405,Zamdogo,13.0815,-2.02048
247,2353406,Zambo,10.81667,-3.0
248,2353407,Zambanga,12.73333,-0.56667
249,2353408,Zambanaga,12.23449,-1.68208
250,2353409,Zambalaga,11.2,-0.26666999999999996
251,2353410,Zambalaga,11.31667,-0.31667
252,2353411,Zambala,12.6,-2.46667
253,2353412,Zamarkoy,14.829,-0.5187
254,2353413,Zamakologo,11.58495,-4.72232
255,2353414,Zam,12.35,-0.81667
256,2353415,Zam,12.33959,-0.83189
257,2353416,Zalo,11.96667,-1.9
258,2353417,Zalagade,11.81667,-1.2
259,2353418,Zakuy,12.53333,-3.41667
260,2353419,Zakui,13.0369,-4.1495
261,2353420,Zakui,12.28333,-3.5166699999999995
262,2353421,Zakoure,12.67512,-1.56179
263,2353422,Zako,12.03333,-0.15
264,2353423,Zakin,12.35793,-1.3722
265,2353424,Zaken,12.3,-2.33333
266,2353425,Zake,12.18333,-2.41667
267,2353426,Zakarga,12.31667,-0.51667
268,2353427,Zaka,11.96667,-0.016669999999999997
269,2353428,Zainzain,11.2,-0.35
270,2353429,Zahatenga,12.86667,-0.9833299999999999
271,2353430,Zagtouli,12.329239999999999,-1.62566
272,2353431,Zagaltenga,12.96548,-1.45688
273,2353432,Zeguedessen,12.72177,-1.46086
274,2353433,Zaeltenga,12.9206,-1.32066
275,2353434,Zado,12.13333,-2.66667
276,2353435,Zadierla,11.848339999999999,-5.096080000000001
277,2353436,Zabre,11.1825,-0.63222
278,2353437,Zabo,11.36667,-3.85
