,Unnamed: 0,ID,location_name,lat,long
10590,10590,6913771,Abanda,15.068079999999998,-0.59805
10013,10013,2363251,Abanga,13.32429,0.31151
11035,11035,11980339,Abassi,12.27728,-1.13662
10551,10551,6874881,Abaye,13.4408,-3.9019
10012,10012,2363250,Aberekui,12.5,-3.41667
10011,10011,2363249,Abra,13.0914,-1.34752
10010,10010,2363248,Abra,13.75724,-1.47784
10009,10009,2363247,Absendo,12.11225,-1.77616
10166,10166,2570111,Absouma,12.42612,-1.4372
10008,10008,2363246,Absouya,12.6406,-1.05426
10577,10577,6913745,Adaboun,15.0635,-0.2432
10007,10007,2363244,Adierea,14.6254,-0.82004
10006,10006,2363243,Adiora,14.96543,-0.14993
10005,10005,2363242,Adjan,11.78333,-2.38333
10004,10004,2363241,Adjarara,14.9417,-0.1836
10003,10003,2363240,Adoudji,13.82906,-0.36104
10002,10002,2363239,Adoumboue,11.65,-3.46667
10001,10001,2363238,Afini,12.34788,1.87889
10000,10000,2363237,Agaisa,14.80515,-0.11522
9999,9999,2363236,Agamor,14.92354,0.02715
11183,11183,12238245,Agbana,11.77969,1.68796
9998,9998,2363235,Agora,14.72435,-0.1826
9997,9997,2363234,Ahkoudewe,12.48848,1.82605
2365,2365,2355546,Aiguille de Sindou,10.66667,-5.15
9996,9996,2363233,Aine,14.294579999999998,0.2744
9995,9995,2363232,Aine,14.35404,0.29877
9994,9994,2363231,Akoundel,13.95459,0.35773
9992,9992,2363229,Aladiou,14.0417,-0.93072
9991,9991,2363228,Alaga,13.01429,-0.96121
9990,9990,2363227,Alale,13.75982,-0.04427
9989,9989,2363226,Alale,13.8811,-1.44242
9988,9988,2363225,Alamini,13.87512,-1.56256
9987,9987,2363224,Alamou,13.43931,-1.11706
9986,9986,2363223,Alana,10.63333,-5.1
9985,9985,2363222,Alapera,9.78333,-3.05
9983,9983,2363220,Alfire,13.21715,-0.62647
10618,10618,7054471,Alga,13.60888,-1.54687
10593,10593,6913774,Alibones,15.05291,-0.44073
11091,11091,12122222,Alidougou,9.66882,-4.29263
9982,9982,2363219,Aligaga,13.76363,0.40064
9981,9981,2363218,Alkoma,14.261170000000002,0.06946000000000001
9980,9980,2363217,Alkousiri,13.02924,0.00049
9993,9993,2363230,Alla Bamguel,14.33101,-1.19873
9979,9979,2363216,Allakoum,14.43439,-0.27317
9984,9984,2363221,Allawallam,14.19202,-1.70199
9978,9978,2363215,Almande,13.01589,0.22408000000000006
9977,9977,2363214,Alobiga,11.0,-0.91667
9976,9976,2363213,Alondi,12.62627,1.46091
9975,9975,2363212,Alondigwena,12.03333,0.93333
9974,9974,2363211,Alora,14.06199,-0.8431299999999999
9973,9973,2363210,Alouba,12.05,0.96667
9972,9972,2363209,Amadi Saguidji,14.4538,-1.6900700000000002
10428,10428,6860076,Amarasinde,14.34069,0.32848
9956,9956,2363193,Ambou Waga,12.93333,0.91667
10499,10499,6873964,Amdama,14.04813,-1.3934
9970,9970,2363207,Amene,13.97401,-2.5429
9969,9969,2363206,Amenekui,12.48333,-3.983330000000001
9968,9968,2363205,Aminbiri,9.93333,-3.1
10684,10684,10121217,Amiso Hotel,12.36647,-1.52749
9967,9967,2363204,Amissia,13.66288,-0.28309
9966,9966,2363203,Amvo,14.126729999999998,-0.85813
9965,9965,2363202,Anaga,12.43676,2.2311400000000003
9964,9964,2363201,Anakatan,14.96611,0.20869
9963,9963,2363200,Anbarkoura,10.06667,-3.18333
9962,9962,2363199,Andekanda,13.96739,-2.26554
9960,9960,2363197,Andem,12.7676,-1.23889
9961,9961,2363198,Andemtenga,12.32417,-0.30917
9959,9959,2363196,Andeulay,13.07924,0.6481600000000001
9958,9958,2363195,Anekui,11.81667,-3.68333
9957,9957,2363194,Ankouma,13.73911,-0.75442
9955,9955,2363192,Ansolma,13.67725,-2.18296
9954,9954,2363191,Ansouara,12.93333,-0.65
9953,9953,2363190,Ansouri,13.31148,-1.76198
9952,9952,2363189,Antia,13.44155,-0.06142
9951,9951,2363188,Antoa,12.91667,-0.96667
9950,9950,2363187,Antyaga,12.23314,1.90854
9949,9949,2363186,Aolo Bele,14.26418,-1.05462
9948,9948,2363185,Aorema,13.66976,-2.33739
9947,9947,2363184,Aoura,13.15056,0.93213
9946,9946,2363183,Aourema,13.3402,-3.92
9945,9945,2363182,Ara,14.31189,-0.92733
9944,9944,2363181,Arae,14.59747,-1.40042
9943,9943,2363180,Arakora,10.2,-3.33333
9942,9942,2363179,Aranboura,10.03333,-3.1
9941,9941,2363178,Arbete,13.83248,-2.57593
10749,10749,11205731,Arbinda Department,14.22528,-0.85972
9939,9939,2363176,Arbolle,12.85,-2.05
9938,9938,2363175,Ardiaradiay,14.35034,-0.58836
9940,9940,2363177,Aribile,14.08089,-1.09409
9937,9937,2363174,Aribinda,14.229629999999998,-0.8653700000000001
10645,10645,7730466,Aribinda Airport,14.215420000000002,-0.89569
9936,9936,2363173,Aribinda Zeno,14.2804,-0.8189
9935,9935,2363172,Ariblana,10.91667,-5.0666699999999985
9934,9934,2363171,Arly,11.58333,1.46667
10640,10640,7730461,Arly Airport,11.597,1.483
9932,9932,2363169,Arma,13.657229999999998,-0.8394299999999999
10474,10474,6873926,Armedji Tifouga,14.6478,-1.541
9931,9931,2363168,Arofo,13.13474,-1.38158
9930,9930,2363167,Arouesma,13.09009,-1.27556
9929,9929,2363166,Arwaskoy,14.8548,0.1824
9928,9928,2363165,Asidim,14.46375,-0.28178000000000003
10587,10587,6913767,Asseddi,15.0182,-0.5338
9927,9927,2363164,Assinga,14.47475,-0.35223000000000004
9926,9926,2363163,Assio,11.66667,-3.13333
9925,9925,2363162,Assiopo,11.31667,-2.08333
9924,9924,2363160,Attoum,10.63333,-2.98333
9923,9923,2363159,Atyeri,12.88333,0.25
9922,9922,2363158,Atyoungbana,12.05,0.93333
9921,9921,2363157,Avogonia,11.0,-1.13333
9920,9920,2363156,Ayagorou,14.55338,-0.7188399999999999
9919,9919,2363155,Ayaraba,12.79137,-1.0619299999999998
9918,9918,2363154,Ayoubakolon,12.6215,-4.0843
10682,10682,10115205,Azalai Hotel Independance,12.36649,-1.51663
10585,10585,6913765,Azarzi,15.04344,-0.57044
9917,9917,2363153,Aziga,11.86667,-2.36667
10704,10704,10629046,BICIAB // Agence Prestige,12.36259,-1.51819
10703,10703,10629040,BICIAB // Banfora,10.64225,-4.76269
10705,10705,10629050,BICIAB // Bobo Dioulasso,11.17516,-4.30162
10715,10715,10629065,BICIAB // Bobo2,11.1664,-4.24132
10707,10707,10629057,BICIAB // Dedougou,12.46281,-3.46082
10713,10713,10629063,BICIAB // Fada Ngourma,12.05989,0.36019
10701,10701,10629032,BICIAB // Gounghin,12.35921,-1.54273
10710,10710,10629060,BICIAB // Koudougou,12.25165,-2.36356
10709,10709,10629059,BICIAB // Koupela,12.18148,-0.35371
10711,10711,10629061,BICIAB // Loudun,12.36492,-1.52008
10716,10716,10629066,BICIAB // Ouaga 2000,12.31428,-1.52901
10706,10706,10629056,BICIAB // Ouahigouya,13.57333,-2.4173400000000003
10714,10714,10629064,BICIAB // Pissy,12.34227,-1.57276
10702,10702,10629037,BICIAB // Pouytenga,12.24591,-0.42954
10718,10718,10629068,BICIAB // Tampouy,12.38963,-1.57645
10712,10712,10629062,BICIAB // Tenkogodo,11.7817,-0.36808
10717,10717,10629067,BICIAB // Wayalghin,12.39701,-1.46854
10708,10708,10629058,BICIAB // Zogona,12.37605,-1.49363
10821,10821,11911409,Ba,12.40679,-1.82679
9916,9916,2363152,Ba,11.28164,-3.9797
9915,9915,2363151,Ba,13.3565,-4.02
9422,9422,2362653,Ba Yangasso,12.03333,-3.2833300000000003
9914,9914,2363150,Baa,12.08333,-3.23333
9913,9913,2363149,Baagou,14.21711,-1.41008
9912,9912,2363148,Babanloua,12.03333,0.51667
9911,9911,2363147,Babayaga,14.166670000000002,0.25
9910,9910,2363146,Babe,12.71291,-1.49363
9909,9909,2363145,Babe,10.28333,-4.01667
9908,9908,2363144,Babeden,12.91667,-0.46667
9907,9907,2363143,Babedo,11.98333,-1.58333
9906,9906,2363142,Babere,12.95,0.06667000000000001
9905,9905,2363141,Babereke,13.14854,-1.03455
9904,9904,2363140,Babie,10.68333,-3.01667
9903,9903,2363139,Babieteoun,9.81667,-2.75
9902,9902,2363138,Babila,13.183329999999998,-0.2878
9901,9901,2363137,Babiou,10.3,-2.86667
9900,9900,2363136,Babirka,13.80723,-0.15631
9899,9899,2363135,Babo,13.84354,-1.90296
9898,9898,2363134,Babolo,10.08333,-4.5666699999999985
9896,9896,2363132,Babonga,13.1065,0.59223
9895,9895,2363131,Babongou,13.44436,0.8963200000000001
9894,9894,2363130,Babou,12.88846,-1.60991
9893,9893,2363129,Babouadi,12.98333,0.43333
9892,9892,2363128,Baboura,10.06667,-3.85
9891,9891,2363127,Babourou,10.1,-4.35
9890,9890,2363126,Bada,13.147670000000002,0.38736
9889,9889,2363125,Badabiessan,11.05,-0.93333
9888,9888,2363124,Badala,11.38551,-4.36295
9887,9887,2363123,Badalougou,12.8,-0.21667
9860,9860,2363096,Badano,13.75583,-2.1221400000000004
9886,9886,2363122,Badara,10.46667,-5.08333
9885,9885,2363121,Badara,10.78333,-3.81667
9884,9884,2363120,Badedsi,12.49728,1.60272
9882,9882,2363118,Badema,11.64701,-4.25823
9883,9883,2363119,Badema,11.18333,-0.31667
9881,9881,2363117,Badet,10.45,-4.1
9880,9880,2363116,Badiere,11.2,-3.16667
9878,9878,2363114,Badinga,12.3527,-4.1995
9879,9879,2363115,Badinga,12.08194,0.6837
9877,9877,2363113,Badini,10.63333,-5.16667
9874,9874,2363110,Badinogo,13.42843,-1.53984
9875,9875,2363111,Badinogo,13.3378,-1.59762
9876,9876,2363112,Badinogo,12.58333,-0.7
9873,9873,2363109,Badinogou,14.0551,-1.64733
9871,9871,2363107,Badnogo,12.13333,-0.5
9872,9872,2363108,Badnogo,11.88333,-1.41667
10977,10977,11948931,Badnogo,12.695,-1.45901
9868,9868,2363104,Badnogo,12.96667,-0.5
9869,9869,2363105,Badnogo I,12.46903,-1.29979
9870,9870,2363106,Badnogo II,12.27074,-1.36982
9867,9867,2363103,Badnongo,13.59939,-0.8696299999999999
9866,9866,2363102,Bado,11.63333,-0.45
9865,9865,2363101,Bado,12.5,0.6
9864,9864,2363100,Badongo,11.11667,-1.16667
9863,9863,2363099,Badongo,11.18333,-0.96667
9862,9862,2363098,Badora,10.3,-3.03333
9861,9861,2363097,Badore,12.98333,-0.13333
9859,9859,2363095,Badougou,11.11667,-0.6166699999999999
9858,9858,2363094,Bafele,14.06579,0.02201
9857,9857,2363093,Bafina,13.68314,-0.97362
9856,9856,2363092,Baforo,11.03333,-3.1
9850,9850,2363086,Baga Dombo,14.129270000000002,-1.59262
9835,9835,2363071,Baga Vendou,14.2536,-1.22023
9855,9855,2363091,Bagaben,12.8,-0.8
9547,9547,2362778,Bagabin,12.5441,-1.46853
10154,10154,2570098,Bagabin,12.10972,-1.51217
9854,9854,2363090,Bagade,13.04169,-0.53465
9853,9853,2363089,Bagadogo,11.9,-1.36667
10106,10106,2570044,Bagadogo,12.07459,-1.35243
9851,9851,2363087,Bagadogo,12.91665,-1.03337
9852,9852,2363088,Bagadogo,12.88333,-0.8333299999999999
9508,9508,2362739,Bagadogo,12.61554,-1.3525200000000002
9849,9849,2363085,Bagadowoeghin,12.2903,-1.79923
9804,9804,2363040,Bagafa,11.76694,-1.84972
9848,9848,2363084,Bagahanba,12.15797,1.81485
9847,9847,2363083,Bagala,12.6,-3.83333
9846,9846,2363082,Bagammssi,11.78333,-1.1
9844,9844,2363080,Bagande,12.85,-0.35
9843,9843,2363079,Bagane,10.96667,-3.05
9841,9841,2363077,Bagane,12.03333,-2.31667
9842,9842,2363078,Bagane,11.2,-3.18333
10309,10309,2570338,Bagarao,12.2581,-1.68688
